target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	82.1687	0	0
CDS_defensin_g1_i2	225	82.1687	0	0
CDS_defensin_g2	225	82.1687	0	0
CDS_defensin_g3	225	82.1687	0	0
CDS_defensin_g4	225	82.1687	0	0
CDS_defensin_g5	225	82.1687	0	0
CDS_defensin_g6	225	82.1687	0	0
CDS_defensin_g7	225	82.1687	0	0
CDS_defensin_g8	225	82.1687	0	0
CDS_defensin_g9	216	75.4855	1	5.50726
CDS_defensin_g10	216	75.4855	3.32406	18.3064
CDS_defensin_g11	246	98.8314	6	25.238
CDS_defensin_g12	246	98.8314	0	0
CDS_defensin_g13	228	84.5223	4	19.6738
CDS_defensin_g14	228	84.5223	0	0
CDS_defensin_g15	192	58.2584	0	0
CDS_defensin_g16_i1	192	58.2584	0	0
CDS_defensin_g16_i2	192	58.2584	0	0
CDS_termicin_g1	195	60.3487	0	0
CDS_termicin_g2	195	60.3487	0	0
CDS_termicin_g3	195	60.3487	1	6.8886
CDS_drosomycin_g1	201	64.5094	0	0
CDS_drosomycin_g2	201	64.5094	3	19.3329
CDS_drosomycin_g3	201	64.5094	1	6.4443
CDS_drosomycin_g4	201	64.5094	0	0
CDS_drosomycin_g5	201	64.5094	54.4032	350.591
CDS_drosomycin_g6	216	75.4855	1	5.50726
CDS_drosomycin_g7	201	64.5094	0	0
CDS_drosomycin_g8	201	64.5094	0	0
CDS_drosomycin_g9	201	64.5094	0.134877	0.869187
CDS_drosomycin_g10	201	64.5094	0	0
CDS_drosomycin_g11	201	64.5094	0	0
CDS_drosomycin_g12	201	64.5094	0	0
CDS_drosomycin_g13	201	64.5094	0	0
CDS_Attacin-like_g1	357	198.636	0	0
CDS_Attacin-like_g2	360	201.552	8	16.5006
CDS_Attacin-like_g3A	357	198.636	0	0
CDS_Attacin-like_g3B	357	198.636	18	37.6715
CDS_blattellicin_g1	762	602.074	0	0
CDS_blattellicin_g2	729	569.074	0	0
CDS_blattellicin_g3	804	644.074	55.2763	35.6781
CDS_blattellicin_g4	738	578.074	0	0
BgeEVm000003t7	66787	66627.1	451.713	2.81845
