target_id	length	eff_length	est_counts	tpm
CDS_defensin_g1_i1	225	84.0791	0	0
CDS_defensin_g1_i2	225	84.0791	0	0
CDS_defensin_g2	225	84.0791	0	0
CDS_defensin_g3	225	84.0791	73.8456	167.817
CDS_defensin_g4	225	84.0791	0	0
CDS_defensin_g5	225	84.0791	73.8456	167.817
CDS_defensin_g6	225	84.0791	23.0823	52.4555
CDS_defensin_g7	225	84.0791	0	0
CDS_defensin_g8	225	84.0791	0	0
CDS_defensin_g9	216	77.1327	15	37.158
CDS_defensin_g10	216	77.1327	12.6813	31.414
CDS_defensin_g11	246	101.048	8	15.1273
CDS_defensin_g12	246	101.048	0	0
CDS_defensin_g13	228	86.4938	0	0
CDS_defensin_g14	228	86.4938	0	0
CDS_defensin_g15	192	59.8507	18.5797	59.3156
CDS_defensin_g16_i1	192	59.8507	209.657	669.329
CDS_defensin_g16_i2	192	59.8507	209.657	669.329
CDS_termicin_g1	195	61.9661	0	0
CDS_termicin_g2	195	61.9661	0	0
CDS_termicin_g3	195	61.9661	0	0
CDS_drosomycin_g1	201	66.1539	0	0
CDS_drosomycin_g2	201	66.1539	0	0
CDS_drosomycin_g3	201	66.1539	0	0
CDS_drosomycin_g4	201	66.1539	0	0
CDS_drosomycin_g5	201	66.1539	81.6728	235.897
CDS_drosomycin_g6	216	77.1327	1	2.4772
CDS_drosomycin_g7	201	66.1539	0	0
CDS_drosomycin_g8	201	66.1539	0	0
CDS_drosomycin_g9	201	66.1539	0	0
CDS_drosomycin_g10	201	66.1539	0	0
CDS_drosomycin_g11	201	66.1539	0	0
CDS_drosomycin_g12	201	66.1539	0	0
CDS_drosomycin_g13	201	66.1539	0	0
CDS_Attacin-like_g1	357	201.347	0	0
CDS_Attacin-like_g2	360	204.244	1	0.935513
CDS_Attacin-like_g3A	357	201.347	0	0
CDS_Attacin-like_g3B	357	201.347	0	0
CDS_blattellicin_g1	762	603.823	0	0
CDS_blattellicin_g2	729	570.834	0	0
CDS_blattellicin_g3	804	645.811	0	0
CDS_blattellicin_g4	738	579.823	0	0
BgeEVm000003t7	66787	66628.8	3487.33	10.0007
BgeEVm000006t3	30440	30281.8	0	0
BgeEVm000001t1	39609	39450.8	181.475	0.878942
BgeEVm001108t1	29764	29605.8	139.367	0.899465
BgeEVm009445t5	23941	23782.8	542.167	4.35582
BgeEVm000008t1	23753	23594.8	101.596	0.822734
BgeEVm014930t1	7194	7035.8	35.2573	0.957492
BgeEVm013440t1	21719	21560.8	390.014	3.45633
BgeEVm011349t1	924	765.797	3	0.748527
BgeEVm000141t1	21395	21236.8	55.0916	0.495674
BgeEVm000020t2	21361	21202.8	101.934	0.918598
BgeEVm000256t1	12477	12318.8	85.3461	1.32378
BgeEVm013154t1	21231	21072.8	577.203	5.23367
BgeEVm000014t1	21222	21063.8	811.993	7.36572
BgeEVm000014t8	5174	5015.8	358.865	13.6707
BgeEVm015310t1	1334	1175.8	20.1905	3.28107
BgeEVm000010t1	20434	20275.8	124.008	1.16862
BgeEVm021059t1	7906	7747.8	15.8071	0.389828
BgeEVm002177t1	18997	18838.8	337.807	3.42622
BgeEVm018363t1	18387	18228.8	30.3719	0.318356
BgeEVm019786t1	18386	18227.8	25.4038	0.266296
BgeEVm021991t1	8588	8429.8	78.007	1.76814
BgeEVm022327t1	18225	18066.8	130.074	1.37566
BgeEVm000015t3	17898	17739.8	52.9097	0.569884
BgeEVm000037t1	17506	17347.8	82.3706	0.907252
BgeEVm000087t4	17342	17183.8	40.7461	0.453072
BgeEVm000132t1	17276	17117.8	138.381	1.54464
BgeEVm019419t1	5455	5296.8	74.6863	2.69419
BgeEVm020924t1	2297	2138.8	10.3667	0.926132
BgeEVm015615t1	10621	10462.8	64.359	1.17533
BgeEVm008727t1	11614	11455.8	61.2741	1.022
BgeEVm000115t1	16595	16436.8	36	0.41849
BgeEVm002379t3	16550	16391.8	477.368	5.56451
BgeEVm000566t1	9732	9573.8	31	0.618696
BgeEVm000979t1	16130	15971.8	61.0285	0.730094
BgeEVm001027t1	4104	3945.8	13.923	0.674216
BgeEVm000021t1	15963	15804.8	101.025	1.22135
BgeEVm016632t1	1293	1134.8	2	0.336753
BgeEVm005794t1	15925	15766.8	234.232	2.83858
BgeEVm001454t3	15797	15638.8	130.042	1.58884
BgeEVm000778t1	15741	15582.8	1715.16	21.0309
BgeEVm000833t1	15719	15560.8	119.677	1.46953
BgeEVm010802t1	1266	1107.8	11.48	1.98008
BgeEVm003239t1	15699	15540.8	69.9606	0.860161
BgeEVm000144t1	15602	15443.8	95.7451	1.18457
BgeEVm000552t4	15468	15309.8	81.6098	1.01853
BgeEVm018454t1	6241	6082.8	38.8845	1.22144
BgeEVm022284t1	15112	14953.8	651.273	8.32169
BgeEVm001519t1	14989	14830.8	113.319	1.45995
BgeEVm001519t10	11655	11496.8	402.607	6.69121
BgeEVm021024t1	4634	4475.8	30.9754	1.32235
BgeEVm000067t1	14966	14807.8	32.6883	0.421795
BgeEVm018437t1	4926	4767.8	0	0
BgeEVm020667t1	8668	8509.8	124.394	2.79307
BgeEVm004367t1	14681	14522.8	133.377	1.75481
BgeEVm017696t1	6411	6252.8	11.9589	0.365441
BgeEVm015619t2	14625	14466.8	129.498	1.71038
BgeEVm014492t1	6179	6020.8	0	0
BgeEVm000058t4	14489	14330.8	138.722	1.84959
BgeEVm022286t1	14478	14319.8	66.1729	0.882964
BgeEVm000152t1	14403	14244.8	154.393	2.07096
BgeEVm001107t1	14300	14141.8	146.949	1.98546
BgeEVm015476t1	14267	14108.8	721.928	9.77696
BgeEVm014379t1	4535	4376.8	88.3482	3.85693
BgeEVm006659t1	14152	13993.8	283.14	3.86604
BgeEVm000215t4	14097	13938.8	126.785	1.73797
BgeEVm010439t1	13961	13802.8	403.572	5.58668
BgeEVm009300t1	1386	1227.8	59.4295	9.24858
BgeEVm003016t1	4201	4042.8	0	0
BgeEVm015747t1	7488	7329.8	255.824	6.66882
BgeEVm018198t1	4111	3952.8	16.6318	0.80396
BgeEVm008758t1	8778	8619.8	0	0
BgeEVm002147t1	13572	13413.8	46.468	0.661915
BgeEVm020683t1	1284	1125.8	0	0
BgeEVm008603t1	13517	13358.8	59.4764	0.850701
BgeEVm016041t1	7788	7629.8	43.4056	1.08701
BgeEVm014577t1	7651	7492.8	28.97	0.738762
BgeEVm008334t1	5452	5293.8	0	0
BgeEVm005338t1	13446	13287.8	297.172	4.27322
BgeEVm001349t3	13403	13244.8	185.858	2.68125
BgeEVm015475t1	13321	13162.8	1094.93	15.8941
BgeEVm001923t1	13314	13155.8	277.772	4.03432
BgeEVm018761t3	9403	9244.8	22.1001	0.456769
BgeEVm026365t1	13288	13129.8	202.89	2.95259
BgeEVm014291t1	13247	13088.8	154.993	2.26263
BgeEVm000781t1	13153	12994.8	718.931	10.571
BgeEVm014938t1	13149	12990.8	573.497	8.4352
BgeEVm009658t1	7109	6950.8	54.7623	1.50538
BgeEVm007685t3	13028	12869.8	34.2005	0.507763
BgeEVm003005t1	12987	12828.8	68.5779	1.02141
BgeEVm005482t1	12984	12825.8	0	0
BgeEVm000043t1	12972	12813.8	44.578	0.664726
BgeEVm018405t1	378	221.67	0	0
BgeEVm018236t1	9892	9733.8	51.2332	1.0057
BgeEVm004582t4	12892	12733.8	88.1928	1.32335
BgeEVm000094t1	12880	12721.8	80	1.20155
BgeEVm000054t1	12866	12707.8	43	0.646544
BgeEVm019282t1	7985	7826.8	169.515	4.13833
BgeEVm000193t1	12814	12655.8	323.632	4.88609
BgeEVm008726t1	12735	12576.8	108.042	1.64143
BgeEVm004731t1	12693	12534.8	756.822	11.5366
BgeEVm001080t5	12652	12493.8	53.6481	0.820464
BgeEVm006310t1	12584	12425.8	126.965	1.95235
BgeEVm019185t1	3177	3018.8	38.9874	2.46769
BgeEVm005680t1	1970	1811.8	7.93472	0.836801
BgeEVm000040t1	12532	12373.8	51.0094	0.787675
BgeEVm007853t1	12519	12360.8	23.4335	0.362236
BgeEVm003829t1	12517	12358.8	209.104	3.23286
BgeEVm000693t1	12436	12277.8	64.8924	1.00989
BgeEVm000292t1	12386	12227.8	279.148	4.36201
BgeEVm018774t1	12384	12225.8	65.4552	1.02298
BgeEVm022546t1	12348	12189.8	20.9422	0.328266
BgeEVm000062t1	12297	12138.8	252	3.96666
BgeEVm001860t1	12290	12131.8	199.307	3.13904
BgeEVm008999t1	1770	1611.8	1	0.118547
BgeEVm000073t1	12196	12037.8	85.2584	1.35329
BgeEVm021152t1	3198	3039.8	4	0.251429
BgeEVm021007t1	4386	4227.8	23.9812	1.08382
BgeEVm019890t1	8950	8791.8	115.087	2.5012
BgeEVm000274t1	12003	11844.8	15.012	0.242165
BgeEVm009905t1	11956	11797.8	55.7947	0.903633
BgeEVm000069t1	11936	11777.8	578.958	9.39253
BgeEVm021746t1	9163	9004.8	144.879	3.0742
BgeEVm017496t1	8214	8055.8	179.528	4.25818
BgeEVm004974t1	8567	8408.8	316.496	7.19174
BgeEVm000057t1	11850	11691.8	23	0.375878
BgeEVm015095t1	11805	11646.8	199.922	3.27985
BgeEVm020447t1	7969	7810.8	428.922	10.4926
BgeEVm022225t1	6900	6741.8	55.7572	1.58025
BgeEVm018650t1	2817	2658.8	9	0.646781
BgeEVm017886t1	5235	5076.8	160.521	6.04147
